CVE_ENT,NOM_ENT,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,OVSDSE,IM,GM,IND0A100,LUGAR,AÑO
9,Distrito Federal,8489007,2.98,11.23,0.12,0.08,2.18,56.4,2.29,0.36,47.32,-,-1.74,Muy Bajo,-,32,1995
10,Durango,1431748,6.06,27.01,19.22,9.12,10.35,59.17,16.71,44.9,67.71,-,0,Medio,-,15,1995
11,Guanajuato,4406568,14.09,26.6,18.19,5.11,11,66.7,14.14,38.3,67.71,-,0.13,Medio,-,13,1995
12,Guerrero,2916567,23.96,26.96,43.17,13.34,35.2,79.62,42.83,53.72,75.94,-,1.91,Muy Alto,-,2,1995
13,Hidalgo,2112473,16.94,26.7,24.87,10.69,20.48,71.57,24.35,59.94,77.17,-,1,Alto,-,5,1995
14,Jalisco,5991176,7.44,24.24,7.86,3.37,8.6,60.92,11.15,20.92,61.4,-,-0.6,Bajo,-,22,1995
15,México,11707964,7.1,19.29,8.66,2.25,8.4,64.48,10.3,20.07,57.22,-,-0.74,Bajo,-,24,1995
16,Michoacán de Ocampo,3870604,15.46,27.7,12.84,6.51,13.46,65.81,22.87,43.41,72.99,-,0.39,Alto,-,12,1995
17,Morelos,1442662,10.57,19.32,6.99,1.3,9.58,62.79,15.7,24.24,62.77,-,-0.55,Bajo,-,20,1995
18,Nayarit,896702,10.09,26.4,13.66,5.5,13.24,64.95,16.18,44.63,66.05,-,0.05,Medio,-,14,1995
19,Nuevo León,3550114,3.81,15.15,1.32,1.93,5.46,51.93,6.55,8.26,47.69,-,-1.5,Muy Bajo,-,31,1995
20,Oaxaca,3228895,23.11,29.17,27.27,14.07,32.89,75.83,43.09,65.58,79.77,-,1.85,Muy Alto,-,3,1995
21,Puebla,4624365,16.31,26.86,16.7,7.31,21.27,74.37,28.65,42.6,76.07,-,0.8,Alto,-,7,1995
22,Querétaro,1250476,11.89,17.35,23.59,8.44,10.66,62.86,10.81,44.37,57.47,-,-0.19,Medio,-,16,1995
